,sex,age,l,m,s,p5,p25,p50,p75,p95
1892,2,35,0.1582,4.3476,0.13583,3.4630839700889657,3.9643329878121,4.3476,4.761593272345176,5.415074643309725
1893,2,36,0.1554,4.3818,0.13554,3.492307072459252,3.996358812703824,4.3818,4.7981797808163815,5.455520435376223
1894,2,37,0.1526,4.4155,0.13526,3.5211009475458046,4.027913818444599,4.4155,4.834237131129021,5.495395702298415
1895,2,38,0.1499,4.449,0.13498,3.549754174686891,4.059296862814881,4.449,4.870060357291712,5.53497525305702
1896,2,39,0.1473,4.482,0.1347,3.578026892856868,4.090234036167952,4.482,4.90532121278068,5.5738860979701395
1897,2,40,0.1446,4.5148,0.13444,3.606053833797681,4.120945992135511,4.5148,4.94041801101362,5.612706941110601
1898,2,41,0.142,4.5472,0.13418,3.6337773203406623,4.151302110080961,4.5472,4.975063238515277,5.650986980901731
1899,2,42,0.1395,4.5793,0.13392,3.6612767174970235,4.18139347413342,4.5793,5.009366474775698,5.688850793559785
1900,2,43,0.1369,4.611,0.13367,3.6884275891150398,4.211103303871687,4.611,5.043256115987632,5.726292458185799
1901,2,44,0.1344,4.6425,0.13342,3.7154326693691635,4.240638974528058,4.6425,5.076913921043576,5.763444057989483
1902,2,45,0.132,4.6736,0.13318,3.7420681069329413,4.269788502524552,4.6736,5.110155352012178,5.800150195016799
1903,2,46,0.1295,4.7044,0.13295,3.7684309483982035,4.298645988746496,4.7044,5.143094668830788,5.836564062042148
1904,2,47,0.1271,4.7349,0.13272,3.7945651256527393,4.327236739949783,4.7349,5.1756941092493935,5.8725670549708875
1905,2,48,0.1247,4.7651,0.1325,3.8204150396735783,4.355532657450646,4.7651,5.207990580801928,5.908267505696816
1906,2,49,0.1224,4.795,0.13228,3.846034719280683,4.3835611710079485,4.795,5.23994786796411,5.94355877903437
1907,2,50,0.12,4.8245,0.13206,3.8713624452870867,4.411234248467618,4.8245,5.271460942994131,5.978344390298173
1908,2,51,0.1177,4.8538,0.13185,3.896473679122129,4.438700808338134,4.8538,5.302779760493494,6.012941750154502
1909,2,52,0.1154,4.8828,0.13165,3.9212961755045384,4.465870532160858,4.8828,5.333797872773198,6.047242601020814
1910,2,53,0.1132,4.9115,0.13145,3.945885487422976,4.492771582756794,4.9115,5.364478139311332,6.081137622249946
1911,2,54,0.1109,4.9399,0.13125,3.9702603608006877,4.519407412793224,4.9399,5.394824834774221,6.114654576329095
1912,2,55,0.1087,4.968,0.13106,3.9943341344572496,4.5457433581817615,4.968,5.424870153794024,6.147864983554447
1913,2,56,0.1065,4.9959,0.13087,4.018263022846436,4.571903216161321,4.9959,5.45468965046273,6.1808089538276025
1914,2,57,0.1044,5.0235,0.13068,4.041956749790732,4.597793574847305,5.0235,5.484172124883255,6.213349038189851
1915,2,58,0.1022,5.0509,0.1305,4.065446381680699,4.62347800072178,5.0509,5.513467907792506,6.2457375151091075
1916,2,59,0.1001,5.078,0.13033,4.0886308671860165,4.6488607445083,5.078,5.542464318015185,6.277824713641855
1917,2,60,0.098,5.1049,0.13015,4.111737211615445,4.674098170073452,5.1049,5.571198786724804,6.3095467959529845
1918,2,61,0.0959,5.1315,0.12998,4.134546860662223,4.6990351995779145,5.1315,5.599636573445297,6.340983091351735
1919,2,62,0.0938,5.158,0.12982,4.157219708834729,4.72385440521544,5.158,5.627996596074383,6.372382587514555
1920,2,63,0.0918,5.1842,0.12966,4.179653746663264,4.748402530061652,5.1842,5.656021286014082,6.403382472843357
1921,2,64,0.0897,5.2102,0.1295,4.201948880131703,4.77277474699265,5.2102,5.683824103094116,6.434134800273218
1922,2,65,0.0877,5.236,0.12934,4.224085407938071,4.796967314951436,5.236,5.711400824653722,6.464611290959647
1923,2,66,0.0857,5.2616,0.12919,4.246001792295517,4.820949242247824,5.2616,5.738792074486531,6.4949312024033095
1924,2,67,0.0838,5.287,0.12904,4.267758498163301,4.844751060287196,5.287,5.765957710007426,6.524976465704352
1925,2,68,0.0818,5.3121,0.12889,4.28929429872291,4.868284763870657,5.3121,5.792793061393849,6.5546524967615625
