,sex,age,l,m,s,p5,p25,p50,p75,p95
26,1,26,0.2361,4.2806,0.13582,3.4027421865676346,3.9019591111773972,4.2806,4.68668606840472,5.321763430456525
27,1,27,0.2346,4.324,0.13539,3.439946459003443,3.942714108981336,4.324,4.732888204021803,5.372295429462078
28,1,28,0.2331,4.3671,0.13497,3.476905662683953,3.9831919441221237,4.3671,4.778767145557718,5.4224703960628
29,1,29,0.2317,4.41,0.13455,3.513748782816651,4.023508805357802,4.41,4.82439968210924,5.472317422352159
30,1,30,0.2303,4.4525,0.13413,3.5503251431470106,4.063483697517566,4.4525,4.869569176215109,5.52160139353752
31,1,31,0.229,4.4946,0.13372,3.586562601794577,4.103086323429177,4.4946,4.914306515607361,5.570397852379786
32,1,32,0.2276,4.5363,0.13332,3.6224772087250043,4.142318991842346,4.5363,4.958616837048754,5.618735306005753
33,1,33,0.2263,4.5776,0.13292,3.6581111784827365,4.181205948875226,4.5776,5.002464409799322,5.6665029322645655
34,1,34,0.225,4.6185,0.13253,3.6934092284391973,4.2197195575080535,4.6185,5.0458848821366535,5.7138038259900865
35,1,35,0.2237,4.659,0.13215,3.728368937698893,4.257858738223882,4.659,5.0888794639780155,5.7606411846175005
36,1,36,0.2225,4.699,0.13177,3.762963430453813,4.295558827955947,4.699,5.131304233619862,5.806790653607243
37,1,37,0.2213,4.7386,0.13139,3.7972814054139428,4.332912633099421,4.7386,5.173270731801146,5.852389530498628
38,1,38,0.2201,4.7778,0.13102,3.8312560514666925,4.369889803108115,4.7778,5.214813784590461,5.897531274527745
39,1,39,0.2189,4.8166,0.13066,3.86488505147693,4.406489305681224,4.8166,5.2559345478470565,5.942218938702823
40,1,40,0.2178,4.8549,0.1303,3.898143546076258,4.44264740498309,4.8549,5.296488015710306,5.986225213762705
41,1,41,0.2166,4.8928,0.12994,3.9311301608430793,4.478458803833151,4.8928,5.336587625598694,6.029700178777936
42,1,42,0.2155,4.9303,0.1296,3.963688497441965,4.513857640872955,4.9303,5.376300875142731,6.072809737809482
43,1,43,0.2144,4.9674,0.12925,3.996030893388606,4.548937781875166,4.9674,5.41552408442356,6.11528323228056
44,1,44,0.2133,5.0041,0.12891,4.028019552762494,4.583636666945449,5.0041,5.454328995094857,6.157313131608965
45,1,45,0.2122,5.0404,0.12858,4.059652312199532,4.617953333689331,5.0404,5.492716683023512,6.1989022750703064
46,1,46,0.2112,5.0763,0.12825,4.0909877976692,4.651917011527272,5.0763,5.5306495523432035,6.239942095199538
47,1,47,0.2101,5.1118,0.12792,4.1220447632949515,4.685531011237987,5.1118,5.568131920071656,6.2804595006927535
48,1,48,0.2091,5.1469,0.1276,4.152731836672746,4.718759098189328,5.1469,5.605197162415798,6.320528600393166
49,1,49,0.2081,5.1817,0.12729,4.183137355330454,4.751693840573196,5.1817,5.641957205595472,6.3602879391085265
50,1,50,0.2071,5.2161,0.12698,4.213251083126929,4.784275525838183,5.2161,5.678266499768333,6.399516417743317
51,1,51,0.2061,5.2501,0.12667,4.243072485182359,4.816503916173665,5.2501,5.714125309122283,6.438214727760782
52,1,52,0.2052,5.2837,0.12637,4.272517838836268,4.848343687190371,5.2837,5.749569970951871,6.476472500938894
53,1,53,0.2042,5.3171,0.12607,4.301840418487626,4.880014623353105,5.3171,5.784784779234391,6.514460990398664
54,1,54,0.2032,5.35,0.12577,4.330787354598337,4.911239413103604,5.35,5.8194415005563735,6.551799929081536
55,1,55,0.2023,5.3826,0.12548,4.359435325876723,4.94216567846068,5.3826,5.8537947300858715,6.588825713965342
56,1,56,0.2014,5.4149,0.1252,4.387792346738,4.972794434068269,5.4149,5.887847394059553,6.625553922376595
57,1,57,0.2005,5.4468,0.12491,4.4159271004009195,5.003101697686052,5.4468,5.921413094975261,6.661654058375226
58,1,58,0.1996,5.4784,0.12463,4.443769160624077,5.03311067740405,5.4784,5.954679092871511,6.697458887002544
59,1,59,0.1987,5.5097,0.12436,4.471316798947642,5.062820606575663,5.5097,5.987646242058715,6.732970659111344
60,1,60,0.1978,5.5407,0.12409,4.498645422443569,5.0922656551364085,5.5407,6.02027543929891,6.76808458758458
61,1,61,0.1969,5.5714,0.12382,4.525754681429908,5.121445667700105,5.5714,6.052566857132885,6.802801123942812
62,1,62,0.196,5.6018,0.12356,4.552566235981415,5.150325173515904,5.6018,6.084561048154677,6.837228873255762
63,1,63,0.1952,5.6319,0.1233,4.57914692057843,5.178937117433932,5.6319,6.116216163442561,6.871247847241108
64,1,64,0.1943,5.6617,0.12304,4.60551626122722,5.207285008545324,5.6617,6.147536507131679,6.904885301279953
65,1,65,0.1935,5.6912,0.12279,4.631574753547464,5.2353291475103285,5.6912,6.178559119495463,6.938224653921908
66,1,66,0.1926,5.7205,0.12254,4.6575018266707655,5.263200571189459,5.7205,6.20935625846311,6.97130634616952
67,1,67,0.1918,5.7494,0.12229,4.683114423115599,5.2907114686585555,5.7494,6.239706823506251,7.00386011564085
68,1,68,0.191,5.7781,0.12205,4.708504516245092,5.318011116162176,5.7781,6.269871757679068,7.036254972908106
69,1,69,0.1902,5.8065,0.12181,4.733670079563371,5.345043443067258,5.8065,6.299701444275876,7.0682590741150175
70,1,70,0.1894,5.8346,0.12157,4.758610801969329,5.371808311228598,5.8346,6.329196036676932,7.099872820846252
71,1,71,0.1886,5.8625,0.12134,4.783326208944389,5.398360683716867,5.8625,6.358506383647063,7.131331300008765
72,1,72,0.1878,5.8901,0.12111,4.807815423648818,5.424644998775508,5.8901,6.38748230181137,7.162401173266283
73,1,73,0.187,5.9174,0.12088,4.832078147045959,5.4506611238563405,5.9174,6.41612393798858,7.193082824403648
74,1,74,0.1863,5.9445,0.12066,4.856102775005366,5.476461696044714,5.9445,6.444580578054347,7.223599182043221
75,1,75,0.1855,5.9713,0.12044,4.8799096516657,5.501995349121653,5.9713,6.472705668673929,7.2537425479347615
76,1,76,0.1847,5.9979,0.12022,4.903570199223568,5.5273522617871755,5.9979,6.500605641541166,7.283621182679712
77,1,77,0.184,6.0242,0.12001,4.926908262512727,5.552400308434122,6.0242,6.528213513683112,7.31321642662535
78,1,78,0.1832,6.0503,0.1198,4.950108871445528,5.577272937719026,6.0503,6.55559895318187,7.342562064225653
79,1,79,0.1825,6.0762,0.11959,4.973151667783963,5.601966355948612,6.0762,6.582757853922794,7.371631147589073
80,1,80,0.1818,6.1018,0.11939,4.995879459346996,5.626351616564243,6.1018,6.60962801842398,7.400433745879572
81,1,81,0.181,6.1272,0.11918,5.01855406616912,5.650599545950186,6.1272,6.636232295673512,7.428870492484741
82,1,82,0.1803,6.1523,0.11899,5.040816398176228,5.674498085032514,6.1523,6.662590627665704,7.457147179170123
83,1,83,0.1796,6.1772,0.11879,5.063015020744248,5.69825725153409,6.1772,6.6886811673863615,7.485044905701696
84,1,84,0.1789,6.2019,0.1186,5.084977511173583,5.721799139957782,6.2019,6.714592769038867,7.512801309126605
85,1,85,0.1782,6.2264,0.11841,5.106789651970425,5.745162513222433,6.2264,6.740281216033223,7.540298122826562
86,1,86,0.1775,6.2507,0.11822,5.128451278061993,5.768347298261617,6.2507,6.7657465891510595,7.567535557685269
87,1,87,0.1768,6.2748,0.11803,5.149962224390377,5.791353422012457,6.2748,6.7909889691792005,7.594513824625187
88,1,88,0.1761,6.2986,0.11785,5.17115215980803,5.814048731784118,6.2986,6.815945562057995,7.621233357019552
89,1,89,0.1754,6.3223,0.11767,5.192272472864279,5.836657226269151,6.3223,6.840787886964002,7.647816063592322
90,1,90,0.1747,6.3457,0.1175,5.213070035853171,5.858954137580119,6.3457,6.865345279267141,7.674142283619639
91,1,91,0.174,6.369,0.11732,5.233886122336367,5.8812040420259235,6.369,6.889743023208411,7.700210341852417
92,1,92,0.1734,6.3921,0.11715,5.254450423155104,5.903232382343958,6.3921,6.9139623849056,7.726130383478806
93,1,93,0.1727,6.4149,0.11698,5.274789712509911,5.924990555804161,6.4149,6.937853848442329,7.7516870999503595
94,1,94,0.172,6.4376,0.11682,5.294968000209353,5.9466206755842945,6.4376,6.961678011958594,7.777232499172193
95,1,95,0.1714,6.4601,0.11666,5.314982127511567,5.968068815859356,6.4601,6.985278651988617,7.802509157088514
96,1,96,0.1707,6.4824,0.11649,5.334943125993615,5.9893796228392935,6.4824,7.008613436209259,7.82742008227377
97,1,97,0.1701,6.5046,0.11634,5.354640551834728,6.010518834594256,6.5046,7.031926230326604,7.852432666366383
98,1,98,0.1694,6.5265,0.11618,5.374202286448923,6.03142819844908,6.5265,7.05486518889264,7.876959138162731
99,1,99,0.1688,6.5483,0.11603,5.393589967723322,6.052206387313794,6.5483,7.077736090082495,7.901464111075055
100,1,100,0.1682,6.5699,0.11588,5.41282242626454,6.0728039110848355,6.5699,7.100386213137569,7.925715716097692
101,1,101,0.1675,6.5914,0.11573,5.431992216947239,6.093315044551222,6.5914,7.122925818349839,7.949848540515939
102,1,102,0.1669,6.6126,0.11558,5.450913865377407,6.113551075508319,6.6126,7.145134566723711,7.9735938872705034
103,1,103,0.1663,6.6338,0.11544,5.469751901820398,6.133749278874272,6.6338,7.16738653841901,7.99745498985259
104,1,104,0.1657,6.6547,0.1153,5.488351198285837,6.153673884778145,6.6547,7.189310209500364,8.020943534706971
105,1,105,0.1651,6.6755,0.11516,5.506876557888387,6.173509772321238,6.6755,7.211121716275131,8.044300762413792
106,1,106,0.1644,6.6962,0.11502,5.525338232825868,6.193258810396164,6.6962,7.232823228473179,8.067540609430015
107,1,107,0.1638,6.7166,0.11489,5.543456376475512,6.212689742244711,6.7166,7.254242804692039,8.090523615586848
