id,from_time,to_time,duration,created_at,updated_at
74,2021-05-25 21:58:00.000000,,,2021-05-25 23:37:30.763372,
75,2021-05-26 07:45:00.000000,2021-05-26 08:05:00.000000,1200,2021-05-26 06:07:14.445904,
76,2021-05-26 08:30:00.000000,2021-05-26 08:45:00.000000,900,2021-05-26 07:31:23.309588,
77,2021-05-26 09:28:00.000000,2021-05-26 09:40:00.000000,720,2021-05-26 07:40:45.772560,
78,2021-05-26 09:48:00.000000,2021-05-26 09:58:00.000000,600,2021-05-26 07:59:05.670775,
79,2021-05-26 12:57:00.000000,2021-05-26 13:10:00.000000,780,2021-05-26 11:12:22.497629,
80,2021-05-26 13:44:00.000000,2021-05-26 13:58:00.000000,840,2021-05-26 11:58:21.319697,
81,2021-05-26 16:39:00.000000,2021-05-26 16:57:00.000000,1080,2021-05-26 14:57:04.369136,
82,2021-05-26 17:30:00.000000,2021-05-26 17:47:00.000000,1020,2021-05-26 15:49:21.709949,
83,2021-05-26 17:55:00.000000,2021-05-26 18:04:00.000000,540,2021-05-26 16:07:57.148337,
84,2021-05-26 18:10:00.000000,2021-05-26 18:20:00.000000,600,2021-05-26 16:24:55.981485,
85,2021-05-26 18:57:00.000000,2021-05-26 19:14:00.000000,1020,2021-05-26 17:16:05.441214,
86,2021-05-26 22:08:00.000000,2021-05-26 22:23:00.000000,900,2021-05-26 20:26:00.835909,
87,2021-05-26 22:33:00.000000,2021-05-26 22:38:00.000000,300,2021-05-26 20:42:45.000955,
88,2021-05-26 22:42:00.000000,2021-05-26 22:48:00.000000,360,2021-05-26 20:51:22.456780,
89,2021-05-26 22:55:00.000000,2021-05-26 23:00:00.000000,300,2021-05-26 21:01:59.286123,
90,2021-05-26 23:20:00.000000,2021-05-26 23:28:00.000000,480,2021-05-26 21:36:38.628586,
91,2021-05-27 03:53:00.000000,2021-05-27 04:26:00.000000,1980,2021-05-27 02:26:59.054298,
92,2021-05-27 08:38:00.000000,2021-05-27 08:57:00.000000,1140,2021-05-27 06:57:31.966827,
93,2021-05-27 09:30:00.000000,2021-05-27 09:46:00.000000,960,2021-05-27 07:46:22.954647,
