id,from_time,to_time,duration,created_at,updated_at
58,2021-05-23 10:28:00.000000,NULL,NULL,2021-05-23 11:37:00.000000,NULL
59,2021-05-23 11:19:00.000000,2021-05-23 11:32:00.000000,780,2021-05-23 11:38:00.000000,NULL
60,2021-05-23 11:57:00.000000,2021-05-23 12:10:00.000000,780,2021-05-23 12:12:00.000000,NULL
61,2021-05-23 12:22:00.000000,2021-05-23 12:27:00.000000,300,2021-05-23 12:27:00.000000,NULL
62,2021-05-23 15:11:00.000000,2021-05-23 15:26:00.000000,900,2021-05-23 15:28:00.000000,NULL
63,2021-05-23 16:30:00.000000,2021-05-23 16:40:00.000000,600,2021-05-23 16:40:00.000000,NULL
64,2021-05-23 17:15:00.000000,2021-05-23 17:25:00.000000,600,2021-05-23 17:29:00.000000,NULL
65,2021-05-23 17:59:00.000000,NULL,NULL,2021-05-23 18:19:00.000000,NULL
66,2021-05-23 18:19:00.000000,2021-05-23 18:25:00.000000,360,2021-05-23 18:29:00.000000,NULL
67,2021-05-23 18:50:00.000000,NULL,NULL,2021-05-23 19:10:00.000000,NULL
68,2021-05-23 21:52:00.000000,2021-05-23 22:07:00.000000,900,2021-05-23 22:07:00.000000,NULL
69,2021-05-23 22:34:00.000000,NULL,NULL,2021-05-23 23:12:00.000000,NULL
70,2021-05-23 23:00:00.000000,2021-05-23 23:13:00.000000,780,2021-05-23 23:13:00.000000,NULL
71,2021-05-23 23:17:00.000000,2021-05-23 23:30:00.000000,780,2021-05-23 23:32:00.000000,NULL
72,2021-05-23 23:36:00.000000,2021-05-23 23:38:00.000000,120,2021-05-23 23:41:00.000000,NULL
73,2021-05-23 23:46:00.000000,2021-05-23 23:49:00.000000,180,2021-05-23 23:53:00.000000,NULL
