id,timestamp,weight,created_at,updated_at
1,2021-05-18 06:38:00.000000,3254,2021-06-04 19:00:00.000000,
2,2021-05-20 12:00:00.000000,3200,2021-05-04 19:00:00.000000,
3,2021-05-21 12:00:00.000000,3270,2021-05-04 19:00:00.000000,
4,2021-05-23 12:00:00.000000,3505,2021-05-04 19:00:00.000000,
5,2021-05-24 12:00:00.000000,3470,2021-05-04 19:00:00.000000,
6,2021-05-26 12:00:00.000000,3560,2021-05-04 19:00:00.000000,
7,2021-05-27 12:00:00.000000,3580,2021-05-04 19:00:00.000000,
8,2021-06-01 12:00:00.000000,3694,2021-05-04 19:00:00.000000,
